exp	azimuth	deepcrispr	deephf
0.309019945	0.5314531312	0.3091034293	0.45482558
0.005396212	0.4554813088	0.0952005237	0.4419877
0.196945755	0.7263279954	0.1882750839	0.6475185
0.628311572	0.6079933877	0.6098355055	0.64359117
0.783609378	0.6289762477	0.3451671600	0.7007903
0.603131753	0.6205247575	0.6022835374	0.7181663
0.183901959	0.6786657395	0.1758016646	0.70614594
0.558805734	0.5699972819	0.1392731667	0.6273687
0.146420501	0.4888450947	0.1395536810	0.63165593
0.483348145	0.7351576054	0.4871988595	0.6991438
0.239845441	0.5313819065	0.2435431331	0.65224284
0.049887239	0.4213381560	0.0473097563	0.3291137
0.129108764	0.5844307622	0.1274869144	0.63238585
0.051968835	0.4192172884	0.0470673293	0.4781758
0.282823498	0.7419182226	0.2875514925	0.64489216
0.115656629	0.3930732165	0.1394318044	0.5793346
0.154549817	0.5582652916	0.1434500813	0.7125181
0.208643769	0.6124946016	0.2094092667	0.6849307
0.140997712	0.4852080341	0.1402187198	0.39081928
0.062932808	0.4732229979	0.0670671463	0.46342018
0.175564065	0.4263236562	0.1705494672	0.5852731
0.069947555	0.4236829895	0.0737248361	0.40794694
0.179397486	0.4629593227	0.0909278393	0.49896926
0.394913362	0.7149521652	0.3931790590	0.69692564
0.736232158	0.5658407302	0.7376969457	0.66546386
0.187995912	0.6480258460	0.1799861491	0.6012776
0.093113699	0.4270233322	0.0987744033	0.6547649
0.117819638	0.4579612501	0.1120348871	0.5460762
0.76003571	0.6686574571	0.6031639576	0.7335183
0.045354415	0.5393983962	0.0849892497	0.5962866
0.284905094	0.7119642130	0.2304492891	0.7336849
0.597924948	0.7196034232	0.4222485721	0.7151872
0.179993097	0.3549822520	0.1824018955	0.21756428
0.150138022	0.5289859951	0.1449496746	0.6128497
0.143178775	0.6172980492	0.1419935673	0.73646075
0.031028396	0.4104641772	0.0066560507	0.5586289
0.242499569	0.8160720400	0.2424944639	0.6680259
0.156148563	0.7075727422	0.3218506873	0.6381721
0.403149608	0.5965372282	0.3054808378	0.71854544
0.001571761	0.4586012010	0.0966090560	0.3631642
0.145788318	0.4374464783	0.1413077116	0.6701648
0.029690883	0.6469939714	0.1281959414	0.68451446
0.142772616	0.5263045351	0.1066345572	0.41162848
0.248301123	0.7504033790	0.1596540213	0.6733843
0.319157967	0.5464981902	0.2786869407	0.63560313
0.158509293	0.4806231325	0.0307138860	0.5617457
0.169084006	0.4717375682	0.1591891050	0.5986601
0.153777231	0.4695735983	0.1485969424	0.5491904
0.114153407	0.4632737758	0.1180888116	0.6204011
0.248231021	0.6810864686	0.3141279817	0.60897994
0.211762892	0.5296169351	0.2124803662	0.6736291
0.325582119	0.6159339916	0.3320460320	0.7440757
0.508743038	0.6022294757	0.5155844092	0.66563445
0.161341059	0.3966490297	0.1126152873	0.5294304
0.350817228	0.5236228637	0.2757396102	0.64631605
0.33624565	0.6253863355	0.3407649398	0.60718334
0.548931126	0.4427167668	0.5463390946	0.64937717
0.156634713	0.4942599387	0.1583959162	0.61696184
0.115844717	0.5014065515	0.1371467113	0.4330927
0.606273955	0.5810994812	0.7255645394	0.6980852
0.223650359	0.5125668850	0.1260429025	0.5880962
0.135374497	0.5083719668	0.1158138812	0.43779278
0.25586425	0.6831327787	0.2645047605	0.6564489
0.266629488	0.4873608310	0.2687829435	0.51756227
0.173766118	0.5274455095	0.1749226898	0.5719242
0.246721094	0.4466072399	0.2496495992	0.5656959
0.090273864	0.7496288103	0.0866194665	0.6535548
0.13982698	0.4614553263	0.1331861615	0.67769164
0.192679645	0.5117512001	0.1976810098	0.5738271
0.488419109	0.5430178488	0.4910854101	0.6802405
0.279981283	0.6264352368	0.2798753083	0.57816523
0.456597884	0.5840167195	0.4700046778	0.59802175
0.156859117	0.4523138825	0.2683919668	0.5721582
0.716179911	0.6500833369	0.6841050982	0.6611119
0.100829859	0.4999831849	0.1063795239	0.61017907
0.536836037	0.4287342800	0.5322655439	0.6335105
0.681968835	0.5858711314	0.6825313568	0.7289285
0.090307393	0.5475138235	0.3367686272	0.5651217
0.102731635	0.4910844993	0.1306233704	0.63492906
0.07548285	0.5355108231	0.0727529973	0.6432671
0.360108856	0.5523531795	0.2038007677	0.6076078
0.301947936	0.4835996728	0.3029467165	0.657902
0.600641771	0.5843165840	0.4511407316	0.63961315
0.070242516	0.4951794095	0.0746758580	0.62204987
0.360963519	0.6496009902	0.3588454127	0.6389353
0.574905094	0.7028519470	0.4981783032	0.6180227
0.544779702	0.6269601276	0.5052930117	0.6634296
0.477405525	0.6197443426	0.4643644094	0.6194572
0.493382536	0.6322566743	0.4989672899	0.6552541
0.186883059	0.5402709594	0.1843087375	0.6246428
0.26456331	0.5770019391	0.2677512169	0.6104045
0.440723184	0.5837694171	0.4414230287	0.62101585
0.166767708	0.4774215167	0.1686077416	0.35875756
0.507896643	0.5464181770	0.5225558281	0.55677855
0.011355368	0.4843528568	0.0119320154	0.4980939
0.079268349	0.5759360008	0.0839365125	0.55335516
0.175249921	0.5654833849	0.2434436530	0.61638546
0.350610423	0.6105339728	0.3595861793	0.7190524
0.204893828	0.3655713529	0.2025226802	0.52115554
0.141843443	0.5567912572	0.1414798796	0.48259905
0.221977103	0.4665144189	0.2245749235	0.5632336
0.074487121	0.5029425239	0.1310342103	0.5691166
0.140850757	0.6580860389	0.1367358267	0.68123716
0.219377403	0.6805332278	0.2225198448	0.70823413
0.216159012	0.5166298585	0.1894239783	0.46221566
0.214424425	0.4292321935	0.1537642181	0.5188039
0.149460998	0.4911040728	0.3480848372	0.60488635
0.346232158	0.6610902493	0.3549206257	0.6733692
0.108854937	0.6349430371	0.1122077405	0.7138997
0.124839809	0.5447054227	0.1153643727	0.47094512
